Metabolite,Formula
ethso3_c,C2H5O3S
etoh_c,C2H6O
f1p_c,C6H11O9P
f6p_c,C6H11O9P
fad_c,C27H31N9O15P2
fadh2_c,C27H33N9O15P2
fald_c,CH2O
fc1p_c,C6H11O8P
fcl__L_c,C6H12O5
fdp_c,C6H10O12P2
fe2_c,Fe
fe3_c,Fe
fe3dhbzs_c,C10H10NO6Fe
fe3hox_c,C9H18O6N3Fe
fe3hox_un_c,C9H18O6N3
fecrm_c,C27H42FeN9O12
fecrm_un_c,C27H42N9O12
feenter_c,C30H27FeN3O15
feoxam_c,C25H46FeN6O8
feoxam_un_c,C25H46N6O8
fgam_c,C8H13N2O9P
flxr_c,XH
flxso_c,XH
fmettrna_c,C6H9NO2SR
fmn_c,C17H19N4O9P
fmnh2_c,C17H21N4O9P
for_c,CH1O2
forcoa_c,C22H32N7O17P3S
fpram_c,C8H15N3O8P
fprica_c,C10H13N4O9P
frdp_c,C15H25O7P2
fru_c,C6H12O6
frulys_c,C12H25N2O7
frulysp_c,C12H24N2O10P
fruur_c,C6H9O7
fuc__L_c,C6H12O5
fum_c,C4H2O4
g1p_c,C6H11O9P
g3p_c,C3H5O6P
g3pc_c,C8H20NO6P
g3pe_c,C5H14NO6P
g3pg_c,C6H14O8P
g3pi_c,C9H18O11P
g3ps_c,C6H13NO8P
g6p_c,C6H11O9P
gagicolipa_c,C157H271N2O84P4
gal_c,C6H12O6
gal1p_c,C6H11O9P
galct__D_c,C6H8O8
galctn__D_c,C6H11O7
galctn__L_c,C6H11O7
galt1p_c,C6H13O9P
galur_c,C6H9O7
gam1p_c,C6H13NO8P
gam6p_c,C6H13NO8P
gar_c,C7H14N2O8P
garagund_c,C77H125N1O22P2
gbbtn_c,C7H15NO2
gcald_c,C2H4O2
gdp_c,C10H12N5O11P2
gdpddman_c,C16H21N5O15P2
gdpfuc_c,C16H23N5O15P2
gdpmann_c,C16H23N5O16P2
gdpofuc_c,C16H21N5O15P2
gdptp_c,C10H11N5O20P5
gfgaragund_c,C83H135N1O27P2
gg4abut_c,C9H15O5N2
ggagicolipa_c,C163H281N2O89P4
ggbutal_c,C9H16O4N2
gggagicolipa_c,C169H291N2O94P4
ggptrc_c,C9H20O3N3
ghb_c,C4H7O3
gicolipa_c,C151H261N2O79P4
glc__D_c,C6H12O6
glcn_c,C6H11O7
glcr_c,C6H8O8
glcur_c,C6H9O7
gln__L_c,C5H10N2O3
glntrna_c,C5H9N2O2R
glu__D_c,C5H8NO4
glu__L_c,C5H8NO4
glu1sa_c,C5H9NO3
glu5p_c,C5H8NO7P
glu5sa_c,C5H9NO3
glucys_c,C8H13N2O5S
glutrna_c,C5H7NO3R
glx_c,C2H1O3
gly_c,C2H5NO2
glyald_c,C3H6O3
glyb_c,C5H11NO2
glyc_c,C3H8O3
glyc__R_c,C3H5O4
glyc2p_c,C3H7O6P
glyc3p_c,C3H7O6P
glyclt_c,C2H3O3
glycogen_c,C6H10O5
glytrna_c,C2H4NOR
gmeACP_c,C17H29N2O10PRS
gmhep17bp_c,C7H12O13P2
gmhep1p_c,C7H13O10P
gmhep7p_c,C7H13O10P
gmp_c,C10H12N5O8P
gp4g_c,C20H24N10O21P4
grdp_c,C10H17O7P2
grxox_c,X
grxrd_c,XH2
gslnt_c,C10H16N3O6SSe
gsn_c,C10H13N5O5
gthox_c,C20H30N6O12S2
gthrd_c,C10H16N3O6S
gtp_c,C10H12N5O14P3
gtspmd_c,C17H36N6O5S
gua_c,C5H5N5O
h_c,H
h2_c,H2
h2mb4p_c,C5H9O8P2
h2o_c,H2O
h2o2_c,H2O2
h2s_c,H2S
hco3_c,CHO3
hcys__L_c,C4H9NO2S
hdca_c,C16H31O2
hdcap_c,C16H32O5P
hdcea_c,C16H29O2
hdceap_c,C16H30O5P
hdcoa_c,C37H60N7O17P3S
hdd2coa_c,C37H60N7O17P3S
hdeACP_c,C27H49N2O8PRS
hemeO_c,C49H56FeN4O5
hexACP_c,C17H31N2O8PRS
hg2_c,Hg
hgmeACP_c,C17H29N2O11PRS
hhlipa_c,C124H220N2O51P2
his__L_c,C6H9N3O2
hisp_c,C6H11N3O4P
histd_c,C6H12N3O
histrna_c,C6H8N3OR
hkndd_c,C9H8O6
hkntd_c,C9H6O6
hlipa_c,C117H208N2O45P2
hmbil_c,C40H38N4O17
hmgth_c,C11H18N3O7S
hom__L_c,C4H9NO3
hphhlipa_c,C131H231N2O60P3
hpmeACP_c,C19H33N2O11PRS
hpyr_c,C3H3O4
hqn_c,C6H6O2
hx2coa_c,C27H40N7O17P3S
hxa_c,C6H11O2
hxan_c,C5H4N4O
hxcoa_c,C27H42N7O17P3S
iasp_c,C4H3NO4
ichor_c,C10H8O6
icit_c,C6H5O7
icolipa_c,C145H251N2O74P4
idon__L_c,C6H11O7
idp_c,C10H11N4O11P2
ile__L_c,C6H13NO2
iletrna_c,C6H12NOR
imacp_c,C6H7N2O5P
imp_c,C10H11N4O8P
indole_c,C8H7N
inost_c,C6H12O6
ins_c,C10H12N4O5
ipdp_c,C5H9O7P2
iscs_c,HSR
iscssh_c,HS2R
iscu_c,H8O2S6R
iscu_2fe2s_c,H4O2S8Fe2R
iscu_2fe2s2_c,O2S10Fe4R
iscu_4fe4s_c,H4O2S10Fe4R
isetac_c,C2H5O4S
itp_c,C10H11N4O14P3
k_c,K
kdo_c,C8H13O8
kdo2lipid4_c,C84H148N2O37P2
kdo2lipid4L_c,C96H170N2O38P2
kdo2lipid4p_c,C100H176N2O38P2
kdo8p_c,C8H12O11P
kdolipid4_c,C76H137N2O30P2
kphphhlipa_c,C139H241N2O70P4
lac__D_c,C3H5O3
lac__L_c,C3H5O3
lald__D_c,C3H6O2
lald__L_c,C3H6O2
lcts_c,C12H22O11
leu__L_c,C6H13NO2
leutrna_c,C6H12NOR
lgt__S_c,C13H20N3O8S
lipa_c,C110H196N2O39P2
lipa_cold_c,C114H202N2O39P2
lipidA_c,C68H126N2O23P2
lipidAds_c,C68H127N2O20P
lipidX_c,C34H64NO12P
lipoamp_c,C18H25N5O8PS2
lipoate_c,C8H14O2S2
lipopb_c,C8H13OS2
lys__L_c,C6H15N2O2
lystrna_c,C6H14N2OR
lyx__L_c,C5H10O5
mal__D_c,C4H4O5
mal__L_c,C4H4O5
malACP_c,C14H22N2O10PRS
malcoa_c,C24H33N7O19P3S
malcoame_c,C25H36N7O19P3S
malt_c,C12H22O11
malt6p_c,C12H21O14P
malthp_c,C42H72O36
malthx_c,C36H62O31
maltpt_c,C30H52O26
malttr_c,C18H32O16
maltttr_c,C24H42O21
man_c,C6H12O6
man1p_c,C6H11O9P
man6p_c,C6H11O9P
man6pglyc_c,C9H14O12P
mana_c,C6H11O7
mdhdhf_c,C5H8O4
melib_c,C12H22O11
meoh_c,CH4O1
mercppyr_c,C3H3O3S
met__D_c,C5H10NO2S
met__L_c,C5H11NO2S
methf_c,C20H20N7O6
metsox_R__L_c,C5H11NO3S
metsox_S__L_c,C5H11NO3S
mettrna_c,C5H10NOSR
mg2_c,Mg
mi1p__D_c,C6H11O9P
micit_c,C7H7O7
mlthf_c,C20H21N7O6
mmcoa__S_c,C25H35N7O19P3S
mmet_c,C6H14NO2S
mn2_c,Mn
mnl1p_c,C6H13O9P
moadamp_c,C11H12N5O8P1X
moadcoo_c,C1O2X
moadcosh_c,C1H1O1S1X
mobd_c,MoO4
moco_c,C10H10N5O8PS2Mo
mococdp_c,C19H22N8O15P2S2Mo
mocogdp_c,C20H22N10O15P2S2Mo
mpt_c,C10H10N5O6PS2Cu
mptamp_c,C20H22N10O12P2S2Cu
mql8_c,C51H74O2
mqn8_c,C51H72O2
msa_c,C3H3O3
mso3_c,CH3O3S
mthgxl_c,C3H4O2
mththf_c,C5H10O5
myrsACP_c,C25H47N2O8PRS
n2o_c,N2O
n8aspmd_c,C9H23N3O
na1_c,Na
na15dap_c,C8H24N3
nac_c,C6H4NO2
nad_c,C21H26N7O14P2
nadh_c,C21H27N7O14P2
nadp_c,C21H25N7O17P3
nadph_c,C21H26N7O17P3
ncam_c,C6H6N2O
nh4_c,H4N
ni2_c,Ni
